id,lat,lng,n_trials,n_positive
malawi-10001,-12.283115,33.649555,30,1
malawi-10002,-12.29724,33.70876,30,4
malawi-10003,-11.858875,33.57636,30,0
malawi-10004,-11.85799,33.49013,30,0
malawi-10005,-11.98271,33.401885,30,2
malawi-10006,-11.945185,33.403395,,
malawi-10007,-11.906085,33.58443,30,0
malawi-10008,-11.890485,33.58941,30,0
malawi-10009,-11.938355,33.44038,30,0
malawi-1001,-14.84458,35.171565,30,2
malawi-10010,-11.887235,33.44624,30,0
malawi-10011,-12.132605,33.454475,,
malawi-10012,-12.16738,33.39259,30,0
malawi-10013,-12.244905,33.42865,30,0
malawi-10014,-12.08489,33.52374,30,0
malawi-10015,-12.138245,33.477635,30,0
malawi-10016,-12.123915,33.38006,28,0
malawi-10017,-12.60687,33.64491,30,0
malawi-10018,-12.534485,33.579715,30,0
malawi-10019,-12.211315,33.70478,30,0
malawi-1002,-14.845395,35.201295,,
malawi-10020,-12.298865,33.573085,30,0
malawi-1003,-14.968725,35.184315,30,0
malawi-1004,-14.8754,35.021745,,
malawi-1005,-14.82058,34.99813,,
malawi-1006,-14.848475,35.116715,,
malawi-1007,-15.04657,35.18489,30,0
malawi-1008,-15.00249,35.18789,,
malawi-1009,-15.05222,35.20802,30,0
malawi-1010,-15.026585,34.97225,30,0
malawi-1011,-15.02395,35.03257,30,0
malawi-1012,-14.99746,35.06793,30,0
malawi-1013,-14.96569,35.09708,30,0
malawi-1014,-15.02618,34.934375,30,0
malawi-1015,-14.98581,34.94433,30,0
malawi-1016,-14.95731,34.8961,30,0
malawi-1017,-15.2892,35.009535,30,0
malawi-1018,-15.2308,35.02077,30,0
malawi-1019,-15.12046,35.03246,30,0
malawi-1020,-15.2532,34.95498,30,0
malawi-11001,-11.45171,34.02556,30,2
malawi-11002,-11.45309,34.025315,30,3
malawi-11003,-11.45771,34.03731,30,2
malawi-11004,-11.45702,34.01954,30,0
malawi-11005,-11.45547,33.993325,30,6
