id,lng,lat,n_trials,n_positive
50724,30.818843,2.857403,23,22
87435,25.91257,-3.923926,22,10
92994,23.107023,2.693045,30,6
109985,25.9725,-9.963883,5,1
109998,24.8741,-3.829701,29,12
114572,20.183664,-4.564153,42,39
118465,29.106016,-3.1765,16,5
126406,26.255537,-4.066919,23,17
127992,13.288949,-5.328278,28,27
128050,25.192503,-4.585395,26,16
128535,23.391155,0.136678,14,2
134029,24.097766,0.039164,36,12
135127,23.4288,4.584438,21,10
139922,18.568951,1.027419,35,9
141918,27.541832,4.165098,20,17
142589,19.487499,-5.080591,19,17
144203,21.119615,-5.450361,42,31
144551,28.49744,-2.514267,20,18
145984,20.960716,4.271366,45,43
148718,25.724521,3.523941,27,17
149337,20.936229,3.362964,36,34
153213,18.640027,4.261393,32,14
156066,18.062523,-1.274888,27,2
156093,20.559704,1.811356,42,38
157633,27.365167,-7.297629,46,8
158672,26.751028,-7.265548,32,2
161856,27.379898,2.459054,24,7
162286,21.811382,1.244355,42,17
163911,23.254479,-4.872297,32,13
164461,13.241549,-5.342878,14,7
167227,29.169744,-0.606421,8,7
175729,26.904022,-7.828149,26,6
178440,20.04612,1.296079,27,12
184214,27.623989,-5.371278,31,9
189832,23.832393,-6.535502,33,21
194288,30.233334,3.310352,28,22
200644,25.651635,-2.223724,16,7
201559,17.615276,-4.400204,27,15
204069,25.912952,-8.56062,23,19
204136,24.230138,-1.879814,16,13
204207,26.889418,-4.179121,19,9
205006,23.781658,-7.237493,31,25
207536,25.336812,1.592727,29,15
208449,26.411668,3.020952,29,10
209138,26.619768,-3.750768,18,3
215255,26.409259,-1.635781,38,29
219662,20.104245,-0.571292,40,3
220352,23.150668,-6.249079,26,20
225030,18.12221,-0.753271,21,12
228353,28.25437,-4.141379,37,19
231361,14.169319,-4.624194,24,24
232770,22.29308,-0.60176,21,14
235420,27.839532,-1.601811,34,13
236332,26.996181,-0.942305,12,8
236490,29.027,-3.963922,35,18
241908,26.317004,-8.513759,39,29
245244,27.520086,-6.978487,50,7
245409,20.18949,2.035945,33,19
246279,19.589145,-4.055585,24,23
246593,27.192406,-4.647497,36,18
246740,24.825931,0.581099,31,19
246804,29.389011,0.506563,11,9
247551,22.19076,-5.373338,23,18
250509,27.230437,3.180766,25,13
253028,25.914888,-9.459582,22,19
254428,27.337259,2.64416,25,3
254497,27.151456,-5.363081,44,13
258017,20.872855,3.354521,33,31
265196,21.324016,-6.451841,45,10
265814,20.892378,3.366455,25,23
265837,24.633126,-10.747077,30,20
271870,26.4377,-0.787966,32,26
275816,17.256013,-5.852902,33,28
278572,19.223004,4.957885,38,19
284362,24.048013,-3.310204,36,16
287326,28.769927,-4.412052,27,17
287509,22.052815,-2.981212,31,16
290072,15.412701,-4.45491,23,19
290878,25.674064,3.458419,23,16
302629,25.449004,-10.689725,24,23
303386,19.99591,4.378539,31,10
305303,28.691061,-2.041109,28,21
305723,26.678371,-7.843511,26,15
311784,22.571963,3.657505,28,24
311811,18.747339,-0.900372,36,31
313298,23.568131,-3.549573,34,12
313519,23.740547,-7.214941,32,32
314659,23.422473,-4.968923,21,12
314960,20.748125,-1.648154,30,26
315243,17.384939,-4.396414,30,28
319771,19.296581,-5.566711,30,23
325625,20.509206,3.74607,26,21
326691,25.845801,-10.000968,21,18
327002,20.661962,-4.334283,36,31
332586,21.362778,-6.791335,24,3
335033,16.745167,-3.713009,30,25
337841,14.835362,-5.405974,14,13
338290,19.113799,1.620995,17,15
340090,23.863199,-6.319712,21,17
348479,29.087154,-4.035079,34,31
348645,24.138116,0.807453,28,21
352001,25.906777,-2.961457,29,22
353074,16.601963,-5.701714,29,21
353932,22.370395,-8.225004,18,17
357974,19.994001,3.591133,29,3
358051,23.582889,-6.110575,18,16
360771,19.4967,-5.746581,31,27
361932,18.477495,-4.57668,19,13
363447,22.101688,-4.886132,30,27
364086,27.97601,3.24852,13,11
367740,25.699087,-6.932566,42,3
367990,17.684525,-6.679401,31,25
368454,26.635812,-10.859151,16,10
373309,20.115791,2.872799,30,9
374103,13.462259,-5.830457,25,21
374237,14.16906,-4.662035,22,22
374910,22.298388,-2.671778,28,15
381011,28.067729,-4.616859,12,1
383191,26.124481,-5.721333,28,3
383306,26.659182,-4.437265,31,24
384396,12.960852,-4.950161,28,28
385664,19.386717,3.288668,12,10
388502,30.537617,2.861207,32,31
388925,21.539106,-7.055197,34,28
389190,18.450213,-1.767085,26,22
390682,28.527202,-2.960349,37,34
391461,29.348242,0.357718,20,17
394117,22.468731,2.20298,27,18
395741,23.364347,-6.009008,29,27
397241,21.218621,-5.688443,46,39
398030,30.4604,1.480815,19,17
398318,21.041913,-6.535452,38,30
402441,14.100362,-4.522841,4,4
404525,18.555608,0.297361,24,20
405490,23.414548,-6.124174,25,14
407442,26.427349,-2.637821,21,19
