country_school,id,country,lat,lng,n_trials,n_positive
cotedivoire-1,1,cotedivoire,6.14522,-3.3865,30,0
cotedivoire-100,100,cotedivoire,7.14198,-3.19039,30,1
cotedivoire-101,101,cotedivoire,7.14024,-3.18513,31,8
cotedivoire-102,102,cotedivoire,5.34457,-4.10293,30,0
cotedivoire-103,103,cotedivoire,5.36731,-4.09949,30,0
cotedivoire-104,104,cotedivoire,5.33645,-4.0991,30,0
cotedivoire-105,105,cotedivoire,10.17716,-5.38191,32,0
cotedivoire-106,106,cotedivoire,5.33805,-4.09647,30,1
cotedivoire-107,107,cotedivoire,7.85367,-3.69748,30,0
cotedivoire-108,108,cotedivoire,10.06196,-5.28476,32,0
cotedivoire-109,109,cotedivoire,5.33294,-4.08286,30,0
cotedivoire-11,11,cotedivoire,9.15474,-7.08041,30,5
cotedivoire-110,110,cotedivoire,7.81998,-3.30049,30,0
cotedivoire-111,111,cotedivoire,10.17715,-5.38187,32,0
cotedivoire-112,112,cotedivoire,10.02051,-5.36413,32,0
cotedivoire-113,113,cotedivoire,7.81187,-3.52352,32,0
cotedivoire-114,114,cotedivoire,7.75273,-3.29273,32,0
cotedivoire-115,115,cotedivoire,9.53544,-5.37387,32,0
cotedivoire-116,116,cotedivoire,7.48646,-3.25237,30,0
cotedivoire-117,117,cotedivoire,5.36318,-4.10564,29,0
cotedivoire-118,118,cotedivoire,5.34938,-4.09388,31,0
cotedivoire-119,119,cotedivoire,7.55483,-3.23118,30,0
cotedivoire-120,120,cotedivoire,7.5549,-3.23072,30,0
cotedivoire-121,121,cotedivoire,9.57979,-5.09312,30,0
cotedivoire-122,122,cotedivoire,10.23346,-5.42414,32,0
cotedivoire-123,123,cotedivoire,10.25569,-5.38007,32,0
cotedivoire-125,125,cotedivoire,5.34966,-4.0966,30,1
cotedivoire-126,126,cotedivoire,5.33285,-4.11426,30,0
cotedivoire-127,127,cotedivoire,7.95614,-3.57679,30,0
cotedivoire-128,128,cotedivoire,10.22003,-5.31407,32,0
cotedivoire-129,129,cotedivoire,10.23182,-5.45262,32,0
cotedivoire-13,13,cotedivoire,9.3436,-7.00018,30,0
cotedivoire-131,131,cotedivoire,5.34105,-4.101,30,0
cotedivoire-132,132,cotedivoire,7.09968,-3.53385,31,1
